کد کالا,نام کالا,واحد,قیمت خرید,قیمت فروش
30104009,کاتاليست تيبا (AM),عدد,88740000,106488000
30101012,کاتاليست پژو 405 (AM),عدد,89018000,106821600
30106020,کاتاليست EF7 Sheet metal-am,عدد,87972000,105566400
30103014,کاتاليست پراید یورو4 (AM),عدد,79729000,95674800
30103016,کاتاليست پراید زیمنس _ AM,عدد,56740000,68088000
30110003,کاتاليست R2 (AM),عدد,80258000,96309600
30118003,کاتاليست ليفان 60X (AM),عدد,106190000,127428000
30118005,کاتاليست دوم ليفان 620AM,عدد,103660000,124392000
30121003,کاتاليست ام وی ام 33X (AM),عدد,78740000,94488000
30121004,کاتاليست ام وی ام 315 (AM),عدد,99290000,119148000
30121012,کاتاليست MVM530- (AM),عدد,67520000,81024000
30121014,کاتاليست MVM550 - (AM),عدد,68990000,82788000
30121011,کاتاليست دوم AM- 550 & 530MVM,عدد,64640000,77568000
30111003,کاتاليست زانتيا (AM),عدد,100620000,120744000
30203018,کاتاباکس قطر 93 - (AM CAM),عدد,49577000,59492400
30109016,کاتاباکس مزدا با لوله (AM),عدد,64166000,76999200
30209006,کاتاباکس قطر 97 با طول 170 (AM CAM),عدد,61370000,73644000
30202013,کاتاباکس قطر 97 با طول 110 (AM CAM),عدد,45209000,54250800
30204017,کاتاباکس قطر 101 - (AM CAM),عدد,61589000,73906800
30206014,کاتاباکس قطر 118 - (AM CAM),عدد,66830000,80196000
30108020,کاتاليست نيسان (AM) NIB,عدد,195130000,234156000
30102010,کاتاليست پژو 206 TU3 با لوله و متعلقات _ AM,عدد,80229000,96274800
30105003,با لوله(کاتاليست رانا ) _ AM,عدد,80177000,96212400
30101014,کاتاليست XUM (Am),عدد,82111000,98533200
30109018,کاتاليست وانت مزدا طرح فلکسيبل -AM,عدد,111450000,133740000
30109021,کاتاليست وانت مزدا طرح رینگ سيل -AM,عدد,85750000,102900000
30109020,کاتاليست وانت مزدا DAE- AM,عدد,133680000,160416000
30109019,کاتاليست وانت مزدا با موتور OHVG- AM,عدد,103310000,123972000
30113008,مجموعه کاتاليست وانت کاپرا با فلکسيبل- AM,عدد,51770000,62124000
30113009,مجموعه کاتاليست وانت کاپرا بدون فلکسيبل - AM,عدد,94180000,113016000
30120004,کاتاليست مگان 1600 (AM),عدد,74833000,89799600
30207006,کاتاباکس ROA با لوله AM,عدد,77950000,93540000
30112003,کاتاليست پژو 405 - 16 سوپاپ - AM,عدد,91475000,109770000
30101015,کاتاليست پژو 405 دوسنسوره - AM,عدد,91475000,109770000
30104014,کاتاليست تيبا (Plus AM),عدد,96404000,115684800
30104029,کاتاليست تيبا ارتقا یافته شيت متال - Plus Am,عدد,108545000,130254000
30106022,کاتاليست EF7 Sheet metal-am plus,عدد,99497000,119396400
30106016,کاتاليست EF7 توربو _ AM Plus,عدد,111384000,133660800
30106023,کاتاليست EF7 توربو PLUS AM اتومات,عدد,124488000,149385600
30103021,کاتاليست پراید یورو4 (Plus AM),عدد,87312000,104774400
30103020,کاتاليست پراید زیمنس (Plus AM),عدد,61360000,73632000
30134003,کاتاليست شاهين PLUS AM,عدد,133680000,160416000
30110005,کاتاليست R2 (AM Plus),عدد,87895000,105474000
30117002,اچ سی کراس(کاتاليست ) H30 CROSS -PLUS AM,عدد,113320000,135984000
30118004,کاتاليست ليفان X60 (AM Plus),عدد,114370000,137244000
30121008,کاتاليست MVM X33 (AM PLUS),عدد,83710000,100452000
30121013,کاتاليست MVM530- (AM Plus),عدد,71880000,86256000
30121015,کاتاليست MVM550- (AM Plus),عدد,73130000,87756000
30203009,کاتاباکس قطر 93 - Plus AM,عدد,58556000,70267200
30209001,کاتاباکس مزدا با لوله - (Plus AM),عدد,75804000,90964800
30209005,کاتاباکس قطر 97 با طول 170 (Plus AM),عدد,72484000,86980800
30202005,کاتاباکس قطر 97 با طول 110 (AMPLUS),عدد,53414000,64096800
30204004,کاتاباکس قطر 101 - Plus AM,عدد,72883000,87459600
30206005,کاتاباکس قطر 118 - Plus AM,عدد,78524000,94228800
30102011,کاتاليست پژو 206 TU3 با لوله و متعلقات (Plus AM),عدد,88740000,106488000
30105004,با لوله(کاتاليست رانا ) (Plus AM),عدد,88131000,105757200
30102012,کاتاليست پژو 207 (PLUS AM),عدد,89326000,107191200
30132002,کاتاليست تارا PLUS AM,عدد,113830000,136596000
30101016,کاتاليست xum (AM Plus),عدد,104225000,125070000
30125003,کاتاليست وانت آریسان AMPLUS,عدد,101715000,122058000
30109022,کاتاليست وانت مزدا طرح فلکسيبل (Plus AM),عدد,119760000,143712000
30109023,کاتاليست وانت مزدا طرح رینگ سيل (Plus AM),عدد,112610000,135132000
30121010,کاتاليست مزدا DAE (AM PLUS),عدد,141990000,170388000
30109024,کاتاليست وانت مزدا با موتور OHVG (Plus AM),عدد,104220000,125064000
30113010,مجموعه کاتاليست وانت کاپرا بدون فلکسيبل (Plus AM),عدد,102360000,122832000
30113011,مجموعه کاتاليست وانت کاپرا با فلکسيبل (Plus AM),عدد,56200000,67440000
30120007,کاتاليست مگان (PLUS AM),عدد,90605000,108726000
30207007,کاتاباکس ROA با لوله AMPLUS,عدد,78670000,94404000
30101018,کاتاليست پژو 405 دوسنسوره - (Plus AM),عدد,100104000,120124800
30126003,کاتاليست دوم هایما Plus AM,عدد,140366000,168439200
30203013,کاتاباکس قطر 93 (OES),عدد,109899000,131878800
30202007,کاتاباکس قطر 97 (OES),عدد,136194000,163432800
30217015,کاتاباکس قطر 97 با طول 110 – OES,عدد,105902000,127082400
30204007,کاتاباکس قطر 101 (OES),عدد,132612000,159134400
30206007,کاتاباکس قطر 118 (OES),عدد,150521000,180625200
30147004,کاتاليست کلوت OES,عدد,346490000,415788000
30207008,کاتاباکس ROA با لوله - OES,عدد,121125000,145350000
30602004,رینگ سيل R2,عدد,980000,1176000
30603002,با ميکا(رینگ سيل پراید ),عدد,686000,823200
30601002,رینگ سيل پژو 405طرح جدید(),عدد,1702000,2042400
30606001,رینگ سيل سمند دیزل,عدد,3017000,3620400
30605001,رینگ سيل 90L بسته بندی شده,عدد,1587000,1904400
31001004,ست پيچ و مهره کاتاليست 405,عدد,3158000,3789600
31001003,ست پيچ و مهره کاتاليست 206 _ B,عدد,2460000,2952000
31001005,ست اتصالات کاتاليست 405بدون رینگ سيل(),عدد,1359000,1630800
31001006,ست اتصالات کاتاليست 206بدون رینگ سيل(),عدد,1287000,1544400
31001015,ست اتصالات تيگارد,عدد,18900000,22680000
